ClientSurname,ClientFirstname,ClientMiddleName,ClientSex,BirthDate,PassportSeries,PassportNumber,ContractNumber,StartingDate,EndingDate,ContractType,AdditionalInfo
Кольцова,Зинаида,Мефодиевна,Женский,12.12.1955,2155,900335,67574280,11.25.2019,07.25.2023,mobile,{100;50;5}
Лукьянова,Татьяна,Несторовна,Женский,05.05.1972,6876,850579,55103970,05.18.2020,09.08.2022,mobile,{100;50;5}
Щеголяева,Варвара,Константиновна,Женский,01.22.1965,6657,816144,17185372,04.24.2019,02.10.2022,tv,{Первый;Россия;СТС}
Челомеева,Влада,Юлиевна,Женский,01.23.1986,2953,811937,40917745,08.23.2018,07.12.2023,wireline,{100}
Сиянскиха,Христина,Евгениевна,Женский,09.15.1975,8969,810845,81416899,01.26.2021,03.17.2023,wireline,{5}
Ёлкина,Агата,Потаповна,Женский,04.19.1944,6580,788578,82384756,02.22.2017,05.26.2023,mobile,{100;50;5}
Гречко,Пахом,Феликсович,Мужской,02.11.1994,3647,727563,41711364,04.21.2015,05.11.2023,tv,{Первый;Россия;СТС}
Коченкова,Анфиса,Якововна,Женский,09.08.1991,8209,632949,57720372,01.17.2017,10.25.2022,tv,{Первый;Россия;СТС}
Мячина,Яна,Семеновна,Женский,06.11.1960,3868,613599,45248032,05.05.2021,04.21.2023,tv,{Первый;Россия;СТС}
Сочеванов,Давид,Яковович,Мужской,06.13.1956,8009,579978,22751272,04.25.2019,08.29.2022,tv,{Первый;Россия;СТС}
Панюшкина,Яна,Святославовна,Женский,06.26.1964,9287,506938,98362626,09.04.2018,02.14.2022,wireline,{25}
Емельянова,Ксения,Всеволодовна,Женский,12.09.1952,4179,480348,87586479,01.25.2018,10.29.2021,wireline,{30}
Рязанова,Владислава,Емельяновна,Женский,11.03.2004,6135,436706,74318509,06.22.2017,10.01.2021,wireline,{20}
Сусоев,Ираклий,Анатолиевич,Мужской,12.30.1990,1598,412700,78356050,09.30.2019,09.07.2022,tv,{Первый;Россия;СТС}
Лигачёва,Владлена,Василиевна,Женский,10.29.1998,2169,385655,26628884,07.11.2017,10.15.2021,wireline,{70}
Жутова,Алиса,Николаевна,Женский,06.04.1982,5076,344891,55880477,11.10.2016,03.31.2023,mobile,{100;50;5}
Николаенко,Зиновий,Сократович,Мужской,12.31.1942,8090,340984,91824898,06.26.2020,09.05.2022,mobile,{100;50;5}
Пьянкова,Инга,Андрияновна,Женский,08.08.1961,9921,310178,24220195,10.23.2015,08.15.2023,mobile,{100;50;5}
Тамаркина,Розалия,Казимировна,Женский,04.11.1960,6199,224300,12646822,01.19.2015,11.16.2022,tv,{Первый;Россия;СТС}
Алистратова,Злата,Ираклиевна,Женский,10.17.1955,7308,215954,80196659,03.11.2019,02.25.2022,mobile,{100;50;5}
Ростов,Никифор,Игнатиевич,Мужской,01.19.1961,5682,210070,96734938,05.08.2019,08.17.2022,tv,{Первый;Россия;СТС}
Белорусова,Кристина,Ростиславовна,Женский,09.16.2001,3699,191038,72636248,08.21.2017,05.30.2022,mobile,{100;50;5}
Покровский,Кир,Тихонович,Мужской,10.06.1944,2752,173595,79003394,11.09.2015,04.08.2022,tv,{Первый;Россия;СТС}
Фоменков,Никон,Григориевич,Мужской,05.08.1999,1376,169161,27729704,09.24.2020,07.03.2023,wireline,{55}
Шкловский,Юлий,Карлович,Мужской,06.09.1985,3421,134523,41437396,12.06.2018,04.07.2023,mobile,{100;50;5}
